domain,BCS_x,ID,literals_x,def_x,usage_x,hypernymID_x,hypernym_literals_x,hypernym_def_x,hypernym_usage_x,Prevod literala,Prevod def,Unnamed: 0,BCS_y,literals_y,def_y,usage_y,hypernymID_y,hypernym_literals_y,hypernym_def_y,hypernym_usage_y
medicine,,ENG30-02644407-a,ascitic,of or relating to or resulting from an abnormal accumulation of protein and electrolyte rich fluid in the peritoneal cavity,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03761588-n,microwave diathermy machine,diathermy machine that uses microwave radiation as the source of heat,-,ENG30-03189818-n,diathermy machine,a medical instrument for local heating of bodily tissues for medical purposes,-,,,,,,,,,,,
medicine,,ENG30-02895008-n,breast implant,an implant for cosmetic purposes to replace a breast that has been surgically removed,-,ENG30-03563710-n,implant,a prosthesis placed permanently in tissue,-,,,,,,,,,,,
medicine,,ENG30-02895606-n,breathing device; breathing apparatus; breathing machine; ventilator,a device that facilitates breathing in cases of respiratory failure,-,ENG30-03183080-n,device,an instrumentality invented for a particular purpose,1 : a device intended to conserve water | 2 : the device is small enough to wear on your wrist,,,,,,,,,,,
medicine,,ENG30-02646804-a,asynergic,of or relating to the state of asynergy; lacking synergy,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02646952-a,ataxic; atactic,lacking motor coordination; marked or caused by ataxia,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02647123-a,atherosclerotic,of or relating to atherosclerosis,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02650214-a,auscultatory,of or relating to auscultation,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02652124-a,autoplastic,of or relating to or involved in autoplasty,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02944872-a,traumatic,of or relating to a physical injury or wound to the body,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02945660-a,epileptic,of or relating to or characteristic of epilepsy,1 : epileptic seizure,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02905886-n,bronchoscope,a slender tubular instrument used to examine the bronchial tubes,-,ENG30-03739693-n,medical instrument,instrument used in the practice of medicine,-,,,,,,,,,,,
medicine,,ENG30-02948363-a,anastomotic,of or relating to or exhibiting anastomosis,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02654314-a,avitaminotic,of or relating to or characteristic of avitaminosis,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02656218-a,azotemic; uremic,of or involving excess nitrogenous waste products in the urine (usually due to kidney insufficiency),-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02657221-a,bacteremic,of or relating to or having bacteremia,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03438952-n,glass eye,prosthesis consisting of an artificial eye made of glass,-,ENG30-04013729-n,prosthesis; prosthetic device,corrective consisting of a replacement for a part of the body,-,,,,,,,,,,,
medicine,,ENG30-03793954-n,mouse-tooth forceps,a type of forceps,-,ENG30-03381231-n,forceps,an extractor consisting of a pair of pincers used in medical treatment (especially for the delivery of babies),-,,,,,,,,,,,
medicine,,ENG30-02950154-a,occlusive,tending to occlude,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-02915480-n,bulb,a rounded part of a cylindrical instrument (usually at one end),1 : the bulb of a syringe,ENG30-03892891-n,part; portion,something less than the whole of a human artifact,1 : glue the two parts together | 2 : the rear part of the house,,,,,,,,,,,
medicine,,ENG30-03814639-n,neck brace,a brace worn to steady the neck,-,ENG30-02887209-n,brace,a support that steadies or strengthens something else,1 : he wore a brace on his knee,,,,,,,,,,,
medicine,,ENG30-05666324-n,immunofluorescence,(immunology) a technique that uses antibodies linked to a fluorescent dye in order to study antigens in a sample of tissue,-,ENG30-05665146-n,technique,a practical method or art applied to some particular task,-,,,,,,,,,,,
medicine,,ENG30-02976681-a,epidemiologic; epidemiological,of or relating to epidemiology,1 : epidemiological studies,,-,-,-,,,,,,,,,,,
medicine,,ENG30-04635010-n,inanition,exhaustion resulting from lack of food,-,ENG30-14017206-n,exhaustion,extreme fatigue,-,,,,,,,,,,,
medicine,,ENG30-03850613-n,ophthalmoscope,medical instrument for examining the retina of the eye,-,ENG30-03739693-n,medical instrument,instrument used in the practice of medicine,-,,,,,,,,,,,
medicine,,ENG30-03857291-n,orthoscope,an ophthalmoscope with a layer of water to neutralize the refraction of the cornea,-,ENG30-03850613-n,ophthalmoscope,medical instrument for examining the retina of the eye,-,,,,,,,,,,,
medicine,,ENG30-03858183-n,otoscope,medical instrument consisting of a magnifying lens and light; used for examining the external ear (the auditory meatus and especially the tympanic membrane),-,ENG30-03739693-n,medical instrument,instrument used in the practice of medicine,-,,,,,,,,,,,
medicine,,ENG30-02981224-a,thyrotoxic,of or relating to or affected by hyperthyroidism,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03505133-n,headrest,a rest for the head,-,ENG30-04081044-n,rest,a support on which things can be put,1 : the gun was steadied on a special rest,,,,,,,,,,,
medicine,,ENG30-03507857-n,heart valve,an implant that replaces a natural heart valve,-,ENG30-03563710-n,implant,a prosthesis placed permanently in tissue,-,,,,,,,,,,,
medicine,,ENG30-03868863-n,oxygen mask,a breathing device that is placed over the mouth and nose; supplies oxygen from an attached storage tank,-,ENG30-02895606-n,breathing device; breathing apparatus; breathing machine; ventilator,a device that facilitates breathing in cases of respiratory failure,-,,,,,,,,,,,
medicine,,ENG30-02987760-a,serologic; serological,of or relating to serology,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03514451-n,hemostat; haemostat,a surgical instrument that stops bleeding by clamping the blood vessel,-,ENG30-04364545-n,surgical instrument,a medical instrument used in surgery,-,,,,,,,,,,,
medicine,,ENG30-02992453-a,embolic,of or relating to an embolism or embolus,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-04675193-n,complexion; skin condition,texture and appearance of the skin of the face,-,ENG30-04673965-n,appearance; visual aspect,outward or visible aspect of a person or thing,-,,,,,,,,,,,
medicine,,ENG30-05721180-n,somesthesia; somaesthesia; somatesthesia; somatic sensation,the perception of tactual or proprioceptive or gut sensations,1 : he relied on somesthesia to warn him of pressure changes,ENG30-05708432-n,perception,the process of perceiving,-,,,,,,,,,,,
medicine,,ENG30-05722754-n,pins and needles,a sharp tingling sensation from lack of circulation,-,ENG30-05722868-n,prickling; tingle; tingling,a prickling somatic sensation as from many tiny pricks,-,,,,,,,,,,,
medicine,,ENG30-05722868-n,prickling; tingle; tingling,a prickling somatic sensation as from many tiny pricks,-,ENG30-05721180-n,somesthesia; somaesthesia; somatesthesia; somatic sensation,the perception of tactual or proprioceptive or gut sensations,1 : he relied on somesthesia to warn him of pressure changes,,,,,,,,,,,
medicine,,ENG30-05724694-n,pain; painful sensation,a somatic sensation of acute discomfort,1 : as the intensity increased the sensation changed from tickle to pain,ENG30-05721180-n,somesthesia; somaesthesia; somatesthesia; somatic sensation,the perception of tactual or proprioceptive or gut sensations,1 : he relied on somesthesia to warn him of pressure changes,,,,,,,,,,,
medicine,,ENG30-05725269-n,twinge,a sharp stab of pain,-,ENG30-05724694-n,pain; painful sensation,a somatic sensation of acute discomfort,1 : as the intensity increased the sensation changed from tickle to pain,,,,,,,,,,,
medicine,,ENG30-05725527-n,heat; warmth,the sensation caused by heat energy,-,ENG30-05725378-n,temperature,the somatic sensation of cold or heat,-,,,,,,,,,,,
medicine,,ENG30-04696695-n,common wart,a benign growth (often with a rough surface),-,ENG30-04696432-n,wart; verruca,(pathology) a firm abnormal elevated blemish on the skin; caused by a virus,-,,,,,,,,,,,
medicine,,ENG30-04696797-n,genital wart; venereal wart; condyloma acuminatum; verruca acuminata,a small benign wart on or around the genitals and anus,-,ENG30-04696432-n,wart; verruca,(pathology) a firm abnormal elevated blemish on the skin; caused by a virus,-,,,,,,,,,,,
medicine,,ENG30-04696969-n,juvenile wart,a small benign growth on the faces of hands of children,-,ENG30-04696432-n,wart; verruca,(pathology) a firm abnormal elevated blemish on the skin; caused by a virus,-,,,,,,,,,,,
medicine,,ENG30-04697084-n,plantar wart,a wart occurring on the sole of the foot,1 : pressure causes plantar warts to develop a painful callus around the soft center,ENG30-04696432-n,wart; verruca,(pathology) a firm abnormal elevated blemish on the skin; caused by a virus,-,,,,,,,,,,,
medicine,,ENG30-03555564-n,hypodermic needle,a hollow needle,-,ENG30-03816136-n,needle,a sharp pointed implement (usually steel),-,,,,,,,,,,,
medicine,,ENG30-03555662-n,hypodermic syringe; hypodermic; hypo,a piston syringe that is fitted with a hypodermic needle for giving injections,-,ENG30-04376876-n,syringe,a medical instrument used to inject or withdraw fluids,-,,,,,,,,,,,
medicine,,ENG30-03906106-n,peg; wooden leg; leg; pegleg,a prosthesis that replaces a missing leg,-,ENG30-04013729-n,prosthesis; prosthetic device,corrective consisting of a replacement for a part of the body,-,,,,,,,,,,,
medicine,,ENG30-03911406-n,penile implant,an implant that creates an artificial erection,-,ENG30-03563710-n,implant,a prosthesis placed permanently in tissue,-,,,,,,,,,,,
medicine,,ENG30-03005862-a,aneurysmal; aneurismal; aneurysmatic; aneurismatic,relating to or affected by an aneurysm,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03007354-a,congestive,relating to or affected by an abnormal collection of blood or other fluid,1 : congestive heart desease,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009016-a,celiac,belonging to or prescribed for celiac disease,1 : a celiac diet,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009131-a,emphysematous,relating to or resembling or being emphysema,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009360-a,atrophic,relating to or characterized by atrophy,1 : atrophic arthritis,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009696-a,calcific,involving or resulting from calcification,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009792-a,fibrocalcific,involving or resulting from calcification of fibrous tissue,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03009911-a,pyknotic; pycnotic,of or relating to or exhibiting pyknosis,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03563710-n,implant,a prosthesis placed permanently in tissue,-,ENG30-04013729-n,prosthesis; prosthetic device,corrective consisting of a replacement for a part of the body,-,,,,,,,,,,,
medicine,,ENG30-03011750-a,hyperemic,relating to or caused by hyperemia,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03011858-a,neuropsychiatric,of or relating to neuropsychiatry,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03574416-n,instillator,medical apparatus that puts a liquid into a cavity drop by drop,-,ENG30-02727825-n,apparatus; setup,equipment designed to serve a specific function,-,,,,,,,,,,,
medicine,,ENG30-03586219-n,iron lung,respirator that produces alternations in air pressure in a chamber surrounding a patient`s chest to force air into and out of the lungs thus providing artificial respiration,-,ENG30-04080833-n,respirator; inhalator,a breathing device for administering long-term artificial respiration,-,,,,,,,,,,,
medicine,,ENG30-03593862-n,Jarvik heart; Jarvik artificial heart,a kind of artificial heart that has been used with some success,-,ENG30-02745492-n,artificial heart,a pump that replaces the natural heart,-,,,,,,,,,,,
medicine,,ENG30-03029573-a,cesarean; cesarian; caesarean; caesarian,relating to abdominal delivery,-,,-,-,-,,,,,,,,,,,
medicine,,ENG30-03966751-n,plexor; plessor; percussor,(medicine) a small hammer with a rubber head used in percussive examinations of the chest and in testing reflexes,-,ENG30-03481172-n,hammer,a hand tool with a heavy rigid head and a handle; used to deliver an impulsive force by striking,-,,,,,,,,,,,
medicine,,ENG30-03031733-a,Freudian,of or relating to Sigmund Freud or his psychoanalytic ideas,1 : Freudian theories,,-,-,-,,,,,,,,,,,
medicine,,ENG30-04790070-n,healthfulness,the quality of promoting good health,-,ENG30-04789689-n,wholesomeness,the quality of being beneficial and generally good for you,-,,,,,,,,,,,
medicine,,ENG30-04790238-n,salubrity; salubriousness,the quality of being salubrious and invigorating,-,ENG30-04790070-n,healthfulness,the quality of promoting good health,-,,,,,,,,,,,
medicine,,ENG30-04791740-n,unhealthfulness,the quality of promoting poor health,-,ENG30-04790449-n,unwholesomeness; morbidness; morbidity,the quality of being unhealthful and generally bad for you,-,,,,,,,,,,,
medicine,,ENG30-04791928-n,insalubrity; insalubriousness,the quality of being insalubrious and debilitating,-,ENG30-04791740-n,unhealthfulness,the quality of promoting poor health,-,,,,,,,,,,,
medicine,,ENG30-03622839-n,knee brace,a brace worn to strengthen the knee,-,ENG30-02887209-n,brace,a support that steadies or strengthens something else,1 : he wore a brace on his knee,,,,,,,,,,,
medicine,,ENG30-03642144-n,laparoscope,a slender endoscope inserted through an incision in the abdominal wall in order to examine the abdominal organs or to perform minor surgery,-,ENG30-03286572-n,endoscope,a long slender medical instrument for examining the interior of a bodily organ or performing minor surgery,-,,,,,,,,,,,
medicine,,ENG30-04007415-n,proctoscope,an endoscope for examining the rectum,-,ENG30-03286572-n,endoscope,a long slender medical instrument for examining the interior of a bodily organ or performing minor surgery,-,,,,,,,,,,,
medicine,,ENG30-07946288-n,disabled,people who are crippled or otherwise physically handicapped,1 : technology to help the elderly and the disabled,ENG30-07942152-n,people,(plural) any group of human beings (men or women or children) collectively,1 : there were at least 200 people in the audience | 2 : old people,,,,,,,,,,,
medicine,,ENG30-07950418-n,sick,people who are sick,1 : they devote their lives to caring for the sick,ENG30-07942152-n,people,(plural) any group of human beings (men or women or children) collectively,1 : there were at least 200 people in the audience | 2 : old people,,,,,,,,,,,
medicine,,ENG30-07953367-n,armamentarium,the collection of equipment and methods used in the practice of medicine,-,ENG30-07951464-n,collection; aggregation; accumulation; assemblage,several things grouped together or considered as a whole,-,,,,,,,,,,,
medicine,,ENG30-04388162-n,tampon,plug of cotton or other absorbent material; inserted into wound or body cavity to absorb exuded fluids (especially blood),-,ENG30-03967942-n,plug; stopper; stopple,blockage consisting of an object designed to fill a hole tightly,-,,,,,,,,,,,
medicine,,ENG30-07220178-n,medical report,a report of the results of a medical examination of a patient,-,ENG30-07218470-n,report; study; written report,a written document describing the findings of some individual or group,1 : this accords with the recent study by Hill and Dale,,,,,,,,,,,
medicine,,ENG30-04431648-n,thumbstall,protective covering for an injured thumb,-,ENG30-04014297-n,protective covering; protective cover; protection,a covering that is intend to protect from damage or injury,1 : wax provided protection for the floors | 2 : they had no protection from the fallout,,,,,,,,,,,
medicine,,ENG30-08047747-n,Red Cross,an international organization that cares for the sick or wounded or homeless in wartime,-,ENG30-08009834-n,nongovernmental organization; NGO,an organization that is not part of the local or state or federal government,-,,,,,,,,,,,
medicine,,ENG30-08054076-n,clinic,a medical establishment run by a group of medical specialists,-,ENG30-08053905-n,medical institution,an institution created for the practice of medicine,-,,,,,,,,,,,
medicine,,ENG30-08054613-n,eye clinic,a clinic where specialist care for a patient`s eyes,-,ENG30-08054076-n,clinic,a medical establishment run by a group of medical specialists,-,,,,,,,,,,,
medicine,,ENG30-04451318-n,tongue depressor,a thin depressor used to press the tongue down during an examination of the mouth and throat,-,ENG30-03177708-n,depressor,a device used by physician to press a part down or aside,-,,,,,,,,,,,
medicine,,ENG30-06515297-n,medical history; medical record; anamnesis,the case history of a medical patient,-,ENG30-06514880-n,case history,detailed record of the background of a person or group under study or treatment,-,,,,,,,,,,,
medicine,,ENG30-08077842-n,coronary care unit,a hospital unit specially staffed and equipped to treat patients with serious cardiac problems,-,ENG30-08146593-n,intensive care unit; ICU,a hospital unit staffed and equipped to provide intensive care,-,,,,,,,,,,,
medicine,,ENG30-04479526-n,trepan; trephine,a surgical instrument used to remove sections of bone from the skull,-,ENG30-04364545-n,surgical instrument,a medical instrument used in surgery,-,,,,,,,,,,,
medicine,,ENG30-00089154-v,smut,"affect with smut or mildew, as of a crop such as corn",-,ENG30-00088713-v,infect; taint,contaminate with a disease or microorganism,-,,,,,,,,,,,
medicine,,ENG30-08112829-n,medical profession; medical community,the body of individuals who are qualified to practice medicine,-,ENG30-08112630-n,health profession,the body of individuals whose work helps to maintain the health of their clients,-,,,,,,,,,,,
medicine,,ENG30-05458859-n,spermatocele,a swelling on the epididymis or the testis; usually contains spermatozoa,-,ENG30-14315192-n,swelling; puffiness; lump,abnormal protuberance or localized enlargement,-,,,,,,,,,,,
medicine,,ENG30-07382044-n,crepitation rale,the crackling sound heard on auscultation when patients with respiratory diseases inhale; associated with tuberculosis and pneumonia and congestive heart failure,-,ENG30-07391240-n,rattle; rattling; rale,a rapid series of short loud sounds (as might be heard with a stethoscope in some types of respiratory disorders),1 : the death rattle,,,,,,,,,,,
medicine,,ENG30-07382044-n,crepitation rale,the crackling sound heard on auscultation when patients with respiratory diseases inhale; associated with tuberculosis and pneumonia and congestive heart failure,-,ENG30-14299637-n,symptom,(medicine) any sensation or change in bodily function that is experienced by a patient and is associated with a particular disease,-,,,,,,,,,,,
medicine,,ENG30-06669193-n,sanitary code; health code,set of standards established and enforced by government for health requirements as in plumbing etc,-,ENG30-06667317-n,code; codification,a set of rules or principles or laws (especially written ones),-,,,,,,,,,,,
medicine,,ENG30-07445149-n,subluxation,partial displacement of a joint or organ,-,ENG30-07445010-n,luxation,displacement or misalignment of a joint or organ,-,,,,,,,,,,,
medicine,,ENG30-06704366-n,Doctor of Public Health; DPH,a doctor`s degree in preventive medicine,-,ENG30-06702458-n,-,one of the highest academic degrees conferred by a university,-,,,,,,,,,,,
medicine,,ENG30-08283507-n,medical school; school of medicine,a graduate school offering study leading to a medical degree,-,ENG30-08282696-n,graduate school; grad school,a school in a university offering study leading to degrees beyond the bachelor`s degree,-,,,,,,,,,,,
medicine,,ENG30-07495327-n,suffering; hurt,feelings of mental or physical pain,-,ENG30-04720024-n,pain; painfulness,emotional distress; a fundamental feeling that people try to avoid,1 : the pain of loneliness,,,,,,,,,,,
medicine,,ENG30-07495551-n,agony; torment; torture,intense feelings of suffering; acute mental or physical pain,1 : the torments of the damned | 2 : an agony of doubt,ENG30-07495327-n,suffering; hurt,feelings of mental or physical pain,-,,,,,,,,,,,
medicine,,ENG30-07495878-n,throes,violent pangs of suffering,1 : death throes,ENG30-07495327-n,suffering; hurt,feelings of mental or physical pain,-,,,,,,,,,,,
medicine,,ENG30-10663549-n,stretcher-bearer; litter-bearer,one who helps carry a stretcher,-,ENG30-09821831-n,attendant; attender; tender,someone who waits on or tends to or attends to the needs of another,-,,,,,,,,,,,
medicine,,ENG30-07495973-n,discomfort; soreness; irritation,an uncomfortable feeling in some part of the body,-,ENG30-07495327-n,suffering; hurt,feelings of mental or physical pain,-,,,,,,,,,,,
medicine,,ENG30-07496166-n,chafing,soreness or irritation of the skin caused by friction,-,ENG30-14332617-n,tenderness; soreness,a pain that is felt when the area is touched,-,,,,,,,,,,,
medicine,,ENG30-10679503-n,Surgeon General,the senior medical officer in an army or navy,-,ENG30-10305635-n,medical officer; medic,a medical practitioner in the armed forces,-,,,,,,,,,,,
medicine,,ENG30-10687427-n,syphilitic,a person suffering from syphilis,-,ENG30-10595647-n,sick person; diseased person; sufferer,a person suffering from an illness,-,,,,,,,,,,,
medicine,,ENG30-09757175-n,abortionist,a person (who should be a doctor) who terminates pregnancies,-,ENG30-10020890-n,doctor; doc; physician; MD; Dr.; medico,a licensed medical practitioner,1 : I felt so bad I went to see my doctor,,,,,,,,,,,
medicine,,ENG30-07538142-n,helplessness,a feeling of being unable to manage,-,ENG30-07537485-n,depression,sad feelings of gloom and inadequacy,-,,,,,,,,,,,
medicine,,ENG30-10707233-n,therapist; healer,a person skilled in a particular type of therapy,-,ENG30-09617867-n,expert,a person with special knowledge or ability who performs skillfully,-,,,,,,,,,,,
medicine,,ENG30-09782855-n,alexic,a person with alexia,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,,,,,,,,,,
medicine,,ENG30-09783653-n,alienist,a psychiatrist and specialist in the legal aspects of mental illness,-,ENG30-10488016-n,psychiatrist; head-shrinker; shrink,a physician who specializes in psychiatry,-,,,,,,,,,,,
medicine,,ENG30-09785236-n,almoner; medical social worker,an official in a British hospital who looks after the social and material needs of the patients,-,ENG30-10620027-n,social worker; caseworker; welfare worker,someone employed to provide social services (especially to the disadvantaged),-,,,,,,,,,,,
medicine,,ENG30-09788611-n,amnesic; amnesiac,a person suffering from amnesia,-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-10719807-n,toxicologist,one who studies the nature and effects of poisons and their treatment,-,ENG30-10306004-n,medical scientist,a scientist who studies disease processes,-,,,,,,,,,,,
medicine,,ENG30-09790188-n,analysand,a person undergoing psychoanalysis,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,,,,,,,,,,
medicine,,ENG30-09790278-n,analyst; psychoanalyst,a licensed practitioner of psychoanalysis,-,ENG30-10488016-n,psychiatrist; head-shrinker; shrink,a physician who specializes in psychiatry,-,,,,,,,,,,,
medicine,,ENG30-09798096-n,aphakic,someone afflicted by aphakia; someone lacking the natural lenses of the eyes,-,ENG30-10055490-n,visually handicapped person,someone handicapped by inferior vision,-,,,,,,,,,,,
medicine,,ENG30-09798244-n,aphasic,someone affected by aphasia or inability to use or understand language,-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-10739135-n,universal donor,a person whose type O Rh-negative blood may be safely transfused into persons with other blood types,-,ENG30-09860813-n,blood donor,someone who gives blood to be used for transfusions,-,,,,,,,,,,,
medicine,,ENG30-10744456-n,vaccinee,a patient who has been vaccinated,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,,,,,,,,,,
medicine,,ENG30-10745613-n,valetudinarian,weak or sickly person especially one morbidly concerned with his or her health,-,ENG30-10595647-n,sick person; diseased person; sufferer,a person suffering from an illness,-,,,,,,,,,,,
medicine,,ENG30-08427453-n,sick call; sick parade,the daily military formation at which individuals report to the medical officer as sick,-,ENG30-08426816-n,military formation,a formation of troops,-,,,,,,,,,,,
medicine,,ENG30-10756937-n,visiting nurse,a nurse who is paid to visit the sick in their homes,-,ENG30-10366966-n,nurse,one skilled in caring for young children or the sick (usually under the supervision of a physician),-,,,,,,,,,,,
medicine,,ENG30-10055490-n,visually handicapped person,someone handicapped by inferior vision,-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-09860130-n,blind person; blind man,a person with a visual handicap severe enough to leave them unemployable,-,ENG30-10055490-n,visually handicapped person,someone handicapped by inferior vision,-,,,,,,,,,,,
medicine,,ENG30-09860813-n,blood donor,someone who gives blood to be used for transfusions,-,ENG30-10026058-n,donor,(medicine) someone who gives blood or tissue or an organ to be used in another person (the host),-,,,,,,,,,,,
medicine,,ENG30-09865547-n,bonesetter,someone (not necessarily a licensed physician) who sets broken bones,-,ENG30-10165109-n,health professional; health care provider; caregiver,a person who helps in identifying or preventing or treating illness or disability,-,,,,,,,,,,,
medicine,,ENG30-09890987-n,candy striper,a volunteer worker in a hospital,-,ENG30-10759151-n,volunteer; unpaid worker,a person who performs voluntary work,-,,,,,,,,,,,
medicine,,ENG30-09900391-n,cataleptic,a person suffering from catalepsy,-,ENG30-10490141-n,psychotic; psychotic person; psycho,a person afflicted with psychosis,-,,,,,,,,,,,
medicine,,ENG30-09919200-n,chiropractor,a therapist who practices chiropractic,-,ENG30-10707233-n,therapist; healer,a person skilled in a particular type of therapy,-,,,,,,,,,,,
medicine,,ENG30-09919297-n,chiropodist; foot doctor; podiatrist,a specialist in care for the feet,-,ENG30-10632576-n,specialist; medical specialist,practices one branch of medicine,-,,,,,,,,,,,
medicine,,ENG30-09960001-n,consumptive; lunger,a person with pulmonary tuberculosis,-,ENG30-10595647-n,sick person; diseased person; sufferer,a person suffering from an illness,-,,,,,,,,,,,
medicine,,ENG30-09961605-n,convalescent,a person who is recovering from illness,-,ENG30-10595647-n,sick person; diseased person; sufferer,a person suffering from an illness,-,,,,,,,,,,,
medicine,,ENG30-09976283-n,crazy; loony; looney; weirdo,someone deranged and possibly dangerous,-,ENG30-10276764-n,lunatic; madman; maniac,an insane person,-,,,,,,,,,,,
medicine,,ENG30-09996481-n,deaf person,a person with a severe auditory handicap,-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-10004171-n,dental surgeon,a dentist qualified to perform surgical procedures,-,ENG30-10004282-n,dentist; tooth doctor; dental practitioner,a person qualified to practice dentistry,-,,,,,,,,,,,
medicine,,ENG30-10367548-n,-,someone who assists a nurse in tasks that require little formal training,-,ENG30-09780249-n,aide; auxiliary,someone who acts as assistant,-,,,,,,,,,,,
medicine,,ENG30-10381804-n,orderly; hospital attendant,a male hospital attendant who has general non-medical duties,-,ENG30-09821831-n,attendant; attender; tender,someone who waits on or tends to or attends to the needs of another,-,,,,,,,,,,,
medicine,,ENG30-10382597-n,organ donor,someone from whom an organ is taken for transplantation,-,ENG30-10026058-n,donor,(medicine) someone who gives blood or tissue or an organ to be used in another person (the host),-,,,,,,,,,,,
medicine,,ENG30-10384610-n,orthodontist,a dentist specializing in the prevention or correction of irregularities of the teeth,-,ENG30-10004282-n,dentist; tooth doctor; dental practitioner,a person qualified to practice dentistry,-,,,,,,,,,,,
medicine,,ENG30-10385566-n,osteopath; osteopathist,a therapist who manipulates the skeleton and muscles,-,ENG30-10707233-n,therapist; healer,a person skilled in a particular type of therapy,-,,,,,,,,,,,
medicine,,ENG30-10387936-n,outpatient,a patient who does not reside in the hospital where he is being treated,-,ENG30-10405694-n,patient,a person who requires medical care,1 : the number of emergency patients has grown rapidly,,,,,,,,,,,
medicine,,ENG30-11426778-n,affinity,(immunology) the attraction between an antigen and an antibody,-,ENG30-11426530-n,attraction; attractive force,the force by which one object attracts another,-,,,,,,,,,,,
medicine,,ENG30-10398033-n,paralytic,a person suffering from paralysis,-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-10398176-n,paramedic; paramedical,a person trained to assist medical professionals and to give emergency medical treatment,-,ENG30-10398624-n,paraprofessional,a trained worker who is not a member of a profession but who assists a professional,-,,,,,,,,,,,
medicine,,ENG30-10398370-n,paranoid; paranoiac,a person afflicted with paranoia,-,ENG30-10490141-n,psychotic; psychotic person; psycho,a person afflicted with psychosis,-,,,,,,,,,,,
medicine,,ENG30-10398487-n,paraplegic,a person who has paraplegia (is paralyzed from the waist down),-,ENG30-10158756-n,handicapped person,a person who has some handicap that interferes with normal functions,-,,,,,,,,,,,
medicine,,ENG30-10400003-n,paretic,a person afflicted with paresis (partial paralysis),-,ENG30-10398033-n,paralytic,a person suffering from paralysis,-,,,,,,,,,,,
medicine,,ENG30-10412554-n,pedodontist,a dentist who specializes in the care of children`s teeth,-,ENG30-10004282-n,dentist; tooth doctor; dental practitioner,a person qualified to practice dentistry,-,,,,,,,,,,,
medicine,,ENG30-10416567-n,periodontist,a dentist specializing in diseases of the gums and other structure surrounding the teeth,-,ENG30-10004282-n,dentist; tooth doctor; dental practitioner,a person qualified to practice dentistry,-,,,,,,,,,,,
medicine,,ENG30-10427764-n,physical therapist; physiotherapist,therapist who treats injury or dysfunction with exercises and other physical treatments of the disorder,-,ENG30-10707233-n,therapist; healer,a person skilled in a particular type of therapy,-,,,,,,,,,,,
medicine,,ENG30-13385466-n,shinplaster,paper money of little value issued on insufficient security,-,ENG30-13384557-n,money,the most common medium of exchange; functions as legal tender,1 : we tried to collect the money he owed us,,,,,,,,,,,
medicine,,ENG30-09625309-n,naprapath,a therapist who practices naprapathy,-,ENG30-10707233-n,therapist; healer,a person skilled in a particular type of therapy,-,,,,,,,,,,,
medicine,,ENG30-10465635-n,presbyope,a person with presbyopia; someone who is farsighted resulting from the progressive loss with aging of the elasticity of the crystalline lens,-,ENG30-10055490-n,visually handicapped person,someone handicapped by inferior vision,-,,,,,,,,,,,
